Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C17, C2, C22, C23, C25, C4, C8",603,10,0.22uf,C21120
"C11, C18, C9",805,3,10uf,C15850
"C12, C19, C24, C26, C6",603,5,4.7uf,C19666
"C14, C15",603,2,10pf,C1634
"C16, C21",603,2,9pf,C430713
"C20, C5",603,2,10nf,C57112
"C3, C7",603,2,2.2uf,C23630
D1,SOT-143,1,SP0503BAHT,C7074
"D2, D4",402,2,LED,C20613596
D3,SOT-23,1,BAT54C,C37704
F1,805,1,Fuse,C5220829
"FB1, FB2",805,2,Ferrite_Bead,C454098
IC1,BGA196C80P14X14_1200X1200X152,1,MIMXRT1062DVJ6B,C3216699
"J1, J2",Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,2,Conn_01x20,C596730
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
L1,805,1,4.7uH,C86090
NCP1,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,1,"OnSemi NCP692, fixed version",C145519
PROG1,KMR241GLFS,1,SW_Push,C221682
Q1,SOT-23,1,Q_PMOS_GDS_DMP3125L,C459542
"R1, R2",603,2,5.1k,C23186
"R3, R4, R9",603,3,100k,C25803
R5,603,1,1M,C22935
"R6, R8",402,2,1k,C11702
R7,603,1,2.2M,C22938
SWD1,PinHeader_1x07_P1.27mm_Vertical,1,SWD,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,XSON8_4x4mm,1,W25Q64JVXGIM,
U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,MKL02Z32VFG4,
USB_UFP1,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
Y1,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,Crystal_GND23,C112587
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Crystal,C510776
